,pdb_code,no_folder,no_ptn_file,no_pck_file,no_lig_file_sdf,no_lig_file_mol2,empty_ptn_file,empty_pck_file,empty_lig_file_sdf,empty_lig_file_mol2,available,subset
18496,6idb,False,False,False,False,False,False,False,False,False,True,refined
18500,6ic2,False,False,False,False,False,False,False,False,False,True,refined
18507,6ibk,False,False,False,False,False,False,False,False,False,True,refined
18518,6i8y,False,False,False,False,False,False,False,False,False,True,refined
18519,6i8t,False,False,False,False,False,False,False,False,False,True,refined
18520,6i8m,False,False,False,False,False,False,False,False,False,True,refined
18530,6i67,False,False,False,False,False,False,False,False,False,True,refined
18531,6i66,False,False,False,False,False,False,False,False,False,True,refined
18532,6i65,False,False,False,False,False,False,False,False,False,True,refined
18533,6i64,False,False,False,False,False,False,False,False,False,True,refined
18534,6i63,False,False,False,False,False,False,False,False,False,True,refined
18535,6i62,False,False,False,False,False,False,False,False,False,True,refined
18536,6i61,False,False,False,False,False,False,False,False,False,True,refined
18542,6i5g,False,False,False,False,False,False,False,False,False,True,refined
18547,6i18,False,False,False,False,False,False,False,False,False,True,refined
18548,6i17,False,False,False,False,False,False,False,False,False,True,refined
18551,6i14,False,False,False,False,False,False,False,False,False,True,refined
18552,6i13,False,False,False,False,False,False,False,False,False,True,refined
18553,6i12,False,False,False,False,False,False,False,False,False,True,refined
18554,6i11,False,False,False,False,False,False,False,False,False,True,refined
18556,6i0z,False,False,False,False,False,False,False,False,False,True,refined
18562,6hzy,False,False,False,False,False,False,False,False,False,True,refined
18569,6hzb,False,False,False,False,False,False,False,False,False,True,refined
18570,6hza,False,False,False,False,False,False,False,False,False,True,refined
18610,6hr2,False,False,False,False,False,False,False,False,False,True,refined
18611,6hq7,False,False,False,False,False,True,False,True,True,False,refined
18618,6hni,False,False,False,False,False,False,False,False,False,True,refined
18624,6hm1,False,False,False,False,False,False,False,False,False,True,refined
18635,6hk4,False,False,False,False,False,False,False,False,False,True,refined
18636,6hk3,False,False,False,False,False,False,False,False,False,True,refined
18645,6hgs,False,False,False,False,False,False,False,True,True,False,refined
18646,6hgr,False,False,False,False,False,False,False,False,True,True,refined
18647,6hgj,False,False,False,False,False,False,False,False,False,True,refined
18648,6hgi,False,False,False,False,False,False,False,False,False,True,refined
18649,6hgg,False,False,False,False,False,False,False,False,False,True,refined
18650,6hgf,False,False,False,False,False,False,False,False,False,True,refined
18660,6haz,False,False,False,False,False,False,False,False,False,True,refined
18661,6hay,False,False,False,False,False,False,False,False,False,True,refined
18662,6hax,False,False,False,False,False,False,False,False,False,True,refined
18673,6h77,False,False,False,False,False,False,False,False,True,True,refined
18703,6gxq,False,False,False,False,False,False,False,False,False,True,refined
18704,6gxg,False,False,False,False,False,False,False,False,False,True,refined
18705,6gxe,False,False,False,False,False,False,False,False,False,True,refined
18706,6gxb,False,False,False,False,False,False,False,False,False,True,refined
18707,6gwe,False,False,False,False,False,False,False,True,False,True,refined
18711,6gvf,False,False,False,False,False,False,False,False,False,True,refined
18714,6gjw,False,False,False,False,False,False,False,False,False,True,refined
18717,6gj8,False,False,False,False,False,False,False,True,False,True,refined
18719,6gj6,False,False,False,False,False,False,False,True,False,True,refined
18724,6ggf,False,False,False,False,False,False,False,False,False,True,refined
18726,6ggb,False,False,False,False,False,False,False,False,False,True,refined
18727,6gga,False,False,False,False,False,False,False,False,False,True,refined
18733,6gdy,False,False,False,False,False,False,False,False,False,True,refined
18738,6g9x,False,False,False,False,False,False,False,False,False,True,refined
18746,6g7a,False,False,False,False,False,False,False,False,False,True,refined
18749,6g5u,False,False,False,False,False,False,False,False,False,True,refined
18750,6g5l,False,False,False,False,False,False,False,False,False,True,refined
18752,6g2s,False,False,False,False,False,False,False,False,False,True,refined
18753,6g2r,False,False,False,False,False,False,False,False,False,True,refined
18754,6g2o,False,False,False,False,False,False,False,False,False,True,refined
18755,6g2f,False,False,False,False,False,False,False,False,False,True,refined
18756,6g2e,False,False,False,False,False,False,False,False,False,True,refined
18757,6g2c,False,False,False,False,False,False,False,False,False,True,refined
18758,6g2b,False,False,False,False,False,False,False,False,False,True,refined
18759,6g29,False,False,False,False,False,False,False,False,False,True,refined
18760,6g27,False,False,False,False,False,False,False,False,False,True,refined
18761,6g25,False,False,False,False,False,False,False,True,False,True,refined
18762,6g24,False,False,False,False,False,False,False,False,False,True,refined
18770,6fz4,False,False,False,False,False,False,False,False,False,True,refined
18779,6ftw,False,False,False,False,False,False,False,False,False,True,refined
18780,6ftf,False,False,False,False,False,False,False,False,False,True,refined
18783,6fsy,False,False,False,False,False,False,False,False,False,True,refined
18788,6fh3,False,False,False,False,False,False,False,True,True,False,refined
18793,6fcj,False,False,False,False,False,False,False,False,False,True,refined
18795,6fag,False,False,False,False,False,False,False,False,False,True,refined
18807,6euc,False,False,False,False,False,False,False,False,False,True,refined
18809,6ets,False,False,False,False,False,False,False,True,False,True,refined
18817,6eq7,False,False,False,False,False,False,False,True,False,True,refined
18819,6eq5,False,False,False,False,False,False,False,True,False,True,refined
18821,6eq3,False,False,False,False,False,False,False,True,False,True,refined
18822,6eq2,False,False,False,False,False,False,False,True,False,True,refined
18832,6efj,False,False,False,False,False,False,False,True,False,True,refined
18833,6eeb,False,False,False,False,False,False,False,True,False,True,refined
18845,6e7u,False,False,False,False,False,False,False,False,False,True,refined
18846,6e7t,False,False,False,False,False,False,False,False,False,True,refined
18848,6e7r,False,False,False,False,False,False,False,False,False,True,refined
18851,6e6m,False,False,False,False,False,False,False,False,False,True,refined
18854,6e5t,False,False,False,False,False,False,False,False,False,True,refined
18856,6e5l,False,False,False,False,False,False,False,False,False,True,refined
18868,6e23,False,False,False,False,False,False,False,False,False,True,refined
18869,6e22,False,False,False,False,False,False,False,True,False,True,refined
18870,6e1z,False,False,False,False,False,False,False,False,False,True,refined
18871,6e1y,False,False,False,False,False,False,False,False,False,True,refined
18877,6dzx,False,False,False,False,False,False,False,False,False,True,refined
18879,6dz3,False,False,False,False,False,False,False,True,False,True,refined
18880,6dz2,False,False,False,False,False,False,False,True,False,True,refined
18881,6dz0,False,False,False,False,False,False,False,True,False,True,refined
18882,6dyz,False,False,False,False,False,False,False,True,False,True,refined
18883,6dyy,False,False,False,False,False,False,False,True,False,True,refined
18884,6dyw,False,False,False,False,False,False,False,True,False,True,refined
18885,6dyv,False,False,False,False,False,False,False,True,False,True,refined
18886,6dyu,False,False,False,False,False,False,False,True,False,True,refined
18887,6dys,False,False,False,False,False,False,False,False,False,True,refined
18889,6dyr,False,False,False,False,False,False,False,True,False,True,refined
18890,6dyn,False,False,False,False,False,False,False,True,False,True,refined
18892,6dy7,False,False,False,False,False,False,False,True,False,True,refined
18897,6dsp,False,False,False,False,False,False,False,False,False,True,refined
18900,6dpz,False,False,False,False,False,False,False,False,False,True,refined
18901,6dpy,False,False,False,False,False,False,False,False,False,True,refined
18902,6dpx,False,False,False,False,False,False,False,False,False,True,refined
18903,6dpt,False,False,False,False,False,False,False,False,False,True,refined
18906,6dl2,False,False,False,False,False,False,False,False,False,True,refined
18914,6dgr,False,False,False,False,False,False,False,False,False,True,refined
18915,6dgq,False,False,False,False,False,False,False,False,False,True,refined
18917,6dgl,False,False,False,False,False,False,False,False,False,True,refined
18918,6det,False,False,False,False,False,False,False,False,False,True,refined
18922,6d9s,False,False,False,False,False,False,False,True,True,False,refined
18924,6d78,False,False,False,False,False,False,False,False,False,True,refined
18938,6d3q,False,False,False,False,False,False,False,False,True,True,refined
18941,6d1k,False,False,False,False,False,False,False,False,True,True,refined
18942,6d1i,False,False,False,False,False,False,False,False,True,True,refined
18943,6d1j,False,False,False,False,False,False,False,False,True,True,refined
18944,6d1h,False,False,False,False,False,False,False,False,True,True,refined
18945,6d1g,False,False,False,False,False,False,False,False,True,True,refined
18946,6d1d,False,False,False,False,False,False,False,False,True,True,refined
18947,6d1b,False,False,False,False,False,False,False,False,True,True,refined
18948,6d1a,False,False,False,False,False,False,False,False,True,True,refined
18949,6d19,False,False,False,False,False,False,False,False,True,True,refined
18950,6d18,False,False,False,False,False,False,False,False,True,True,refined
18951,6d17,False,False,False,False,False,False,False,False,True,True,refined
18952,6d16,False,False,False,False,False,False,False,False,True,True,refined
18953,6d15,False,False,False,False,False,False,False,False,True,True,refined
18956,6czf,False,False,False,False,False,False,False,True,True,False,refined
18963,6cq1,False,False,False,False,False,False,False,True,False,True,refined
18966,6cjs,False,False,False,False,False,False,False,False,False,True,refined
18967,6cjr,False,False,False,False,False,False,False,False,False,True,refined
18973,6c9v,False,False,False,False,False,False,False,False,False,True,refined
18974,6c9s,False,False,False,False,False,False,False,False,False,True,refined
18980,6c85,False,False,False,False,False,False,False,False,False,True,refined
18989,6c2r,False,False,False,False,False,False,False,True,False,True,refined
19000,6bs4,False,False,False,False,False,False,False,False,True,True,refined
19001,6bs3,False,False,False,False,False,False,False,False,True,True,refined
19016,6ays,False,False,False,False,False,False,False,True,False,True,refined
19019,6as8,False,False,False,False,False,False,False,False,False,True,refined
19020,6aro,False,False,False,False,False,False,False,False,False,True,refined
19021,6arn,False,False,False,False,False,False,False,False,False,True,refined
19024,6aox,False,False,False,False,False,False,False,False,False,True,refined
19028,6ajz,False,False,False,False,False,False,False,False,False,True,refined
19029,6ajy,False,False,False,False,False,False,False,False,False,True,refined
19031,6ajr,False,False,False,False,False,False,False,False,False,True,refined
19047,6abx,False,False,False,False,False,False,False,False,False,True,refined
19060,6a87,False,False,False,False,False,False,False,False,False,True,refined
19072,5zym,False,False,False,False,False,False,False,False,False,True,refined
19073,5zyl,False,False,False,False,False,False,False,False,False,True,refined
19077,5zyg,False,False,False,False,False,False,False,False,False,True,refined
19080,5zw6,False,False,False,False,False,False,False,False,False,True,refined
19081,5zvw,False,False,False,False,False,False,False,False,False,True,refined
19091,5zni,False,False,False,False,False,False,False,False,False,True,refined
19092,5znc,False,False,False,False,False,False,False,False,False,True,refined
19104,5zhl,False,False,False,False,False,False,False,False,False,True,refined
19107,5zg3,False,False,False,False,False,False,False,False,False,True,refined
19108,5zg1,False,False,False,False,False,False,False,False,False,True,refined
19109,5zg0,False,False,False,False,False,False,False,False,False,True,refined
19119,5zdb,False,False,False,False,False,False,False,False,True,True,refined
19129,5yum,False,False,False,False,False,False,False,False,False,True,refined
19135,5yqx,False,False,False,False,False,False,False,False,False,True,refined
19140,5ymx,False,False,False,False,False,False,False,True,True,False,refined
19165,5wmg,False,False,False,False,False,False,False,False,False,True,refined
19167,5win,False,False,False,False,False,False,False,False,False,True,refined
19169,5wij,False,False,False,False,False,False,False,True,False,True,refined
19177,5wa5,False,False,False,False,False,False,False,False,False,True,refined
19180,5w2s,False,False,False,False,False,False,False,True,False,True,refined
19186,5vh0,False,False,False,False,False,False,False,False,False,True,refined
19211,5qtt,False,False,False,False,False,False,False,False,False,True,refined
19212,5qqp,False,False,False,False,False,False,False,True,False,True,refined
19227,5ohy,False,False,False,False,False,False,False,False,False,True,refined
19228,5oht,False,False,False,False,False,False,False,False,False,True,refined
19229,5ogb,False,False,False,False,False,False,False,False,False,True,refined
19230,5od1,False,False,False,False,False,False,False,False,True,True,refined
19231,5obg,False,False,False,False,False,False,False,False,False,True,refined
19232,5oaj,False,False,False,False,False,False,False,True,False,True,refined
19235,5o87,False,False,False,False,False,False,False,False,False,True,refined
19290,6r11,False,False,False,False,False,False,False,False,False,True,refined
19291,6qrc,False,False,False,False,False,False,False,True,False,True,refined
19293,6qas,False,False,False,False,False,False,False,False,False,True,refined
19300,6nzv,False,False,False,False,False,False,False,False,False,True,refined
19302,6nw3,False,False,False,False,False,False,False,False,False,True,refined
19304,6no9,False,False,False,False,False,False,False,False,False,True,refined
19307,6n3x,False,False,False,False,False,False,False,True,False,True,refined
19308,6n3w,False,False,False,False,False,False,False,True,False,True,refined
19309,6n3v,False,False,False,False,False,False,False,True,False,True,refined
19310,6mll,False,False,False,False,False,False,False,True,False,True,refined
19319,6hhr,False,False,False,False,False,False,False,False,False,True,refined
19320,6h1d,False,False,False,False,False,False,False,False,False,True,refined
19322,6g6t,False,False,False,False,False,False,False,False,False,True,refined
19328,6dd0,False,False,False,False,False,False,False,False,True,True,refined
19334,6ayt,False,False,False,False,False,False,False,True,False,True,refined
19335,6arm,False,False,False,False,False,False,False,False,False,True,refined
19337,6ajv,False,False,False,False,False,False,False,False,False,True,refined
19342,5z66,False,False,False,False,False,False,False,False,False,True,refined
19356,6sbt,False,False,False,False,False,False,False,False,False,True,refined
19367,6sge,False,False,False,False,False,False,False,True,True,False,refined
19373,6ssy,False,False,False,False,False,False,False,False,True,True,refined
19374,6st0,False,False,False,False,False,False,False,False,False,True,refined
19376,6stl,False,False,False,False,False,False,False,False,False,True,refined
19381,6szp,False,False,False,False,False,False,False,False,False,True,refined
19382,6t1i,False,False,False,False,False,False,False,False,False,True,refined
19383,6t1j,False,False,False,False,False,False,False,False,False,True,refined
19384,6t1l,False,False,False,False,False,False,False,False,False,True,refined
19385,6t1m,False,False,False,False,False,False,False,True,False,True,refined
19386,6t1n,False,False,False,False,False,False,False,True,False,True,refined
19387,6t1o,False,False,False,False,False,False,False,True,False,True,refined
19397,6u5y,False,False,False,False,False,False,False,False,False,True,refined
19398,6u6w,False,False,False,False,False,False,False,False,False,True,refined
19402,6u8b,False,False,False,False,False,False,False,False,False,True,refined
19404,6u8o,False,False,False,False,False,False,False,False,False,True,refined
19406,6ud2,False,False,False,False,False,False,False,False,False,True,refined
19407,6udi,False,False,False,False,False,False,False,False,False,True,refined
19408,6udt,False,False,False,False,False,False,False,False,False,True,refined
19409,6udu,False,False,False,False,False,False,False,False,False,True,refined
19410,6udv,False,False,False,False,False,False,False,False,False,True,refined
19413,6ueg,False,False,False,False,False,False,False,False,False,True,refined
19417,6ugn,False,False,False,False,False,False,False,False,False,True,refined
19419,6ugp,False,False,False,False,False,False,False,False,False,True,refined
19421,6ugr,False,False,False,False,False,False,False,False,False,True,refined
19422,6ugz,False,False,False,False,False,False,False,False,False,True,refined
